ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0002684	positive regulation of immune system process	23/90	492/6656	8.450276826475707e-8	1.1947391390047961e-5	1.1070888992095298e-5	BANK1/IGHD/CD19/TNFRSF13C/MS4A1/CD79A/FCER2/IGHM/IGLC3/CD22/CD79B/IGLC2/IL4R/LAPTM5/RHOH/ELF1/TRBC2/CD83/MEF2C/JUND/BLK/LAT2/BCL2	23
GO:0006910	phagocytosis, recognition	5/90	12/6656	2.9710603072485103e-7	3.900577746230544e-5	3.6144177271639776e-5	IGHD/IGHM/IGLC3/IGLC2/TRBC2	5
GO:0002455	humoral immune response mediated by circulating immunoglobulin	6/90	23/6656	4.3354738694220605e-7	5.312400647998498e-5	4.9226643654209785e-5	IGHD/FCER2/IGHM/IGLC3/IGLC2/TRBC2	6
GO:0042100	B cell proliferation	8/90	58/6656	9.000380228890653e-7	1.0339186787938137e-4	9.580667901542814e-5	CD19/TNFRSF13C/MS4A1/CD79A/CD22/MEF2C/BLK/BCL2	8
GO:0006958	complement activation, classical pathway	5/90	15/6656	1.0909676366427239e-6	1.1795285389113686e-4	1.0929942019120293e-4	IGHD/IGHM/IGLC3/IGLC2/TRBC2	5
GO:0002250	adaptive immune response	15/90	260/6656	1.6576972909379534e-6	1.6926931226355325e-4	1.5685112378582508e-4	IGHD/CD19/TNFRSF13C/CD79A/FCER2/IGHM/IGLC3/CD79B/IGLC2/IL4R/LY9/TRBC2/JCHAIN/MEF2C/LAT2	15
GO:0050871	positive regulation of B cell activation	8/90	65/6656	2.1941005867250345e-6	2.1225036202108494e-4	1.966789334803937e-4	IGHD/TNFRSF13C/IGHM/IGLC3/IGLC2/TRBC2/MEF2C/BCL2	8
GO:0050776	regulation of immune response	20/90	471/6656	3.2130790374936735e-6	2.937158367994621e-4	2.721678162427866e-4	BANK1/IGHD/CD19/MS4A1/CD79A/FCER2/IGHM/IGLC3/CD22/CD79B/IGLC2/IL4R/LAPTM5/ELF1/TRBC2/MEF2C/PARP14/BLK/LAT2/BCL2	20
GO:0002694	regulation of leukocyte activation	17/90	350/6656	3.355839267023234e-6	2.937158367994621e-4	2.721678162427866e-4	BANK1/IGHD/CD19/TNFRSF13C/IGHM/IGLC3/CD22/IGLC2/IL4R/LAPTM5/RHOH/TRBC2/CD83/MEF2C/JUND/BLK/BCL2	17
GO:0051249	regulation of lymphocyte activation	16/90	313/6656	3.5232098142193987e-6	2.943481653879661e-4	2.727537549955496e-4	BANK1/IGHD/CD19/TNFRSF13C/IGHM/IGLC3/CD22/IGLC2/IL4R/LAPTM5/RHOH/TRBC2/CD83/MEF2C/BLK/BCL2	16
GO:0050865	regulation of cell activation	17/90	366/6656	6.14178488136808e-6	4.908087222588927e-4	4.548012786294532e-4	BANK1/IGHD/CD19/TNFRSF13C/IGHM/IGLC3/CD22/IGLC2/IL4R/LAPTM5/RHOH/TRBC2/CD83/MEF2C/JUND/BLK/BCL2	17
GO:0006956	complement activation	5/90	21/6656	6.933679464089053e-6	5.3100428562482e-4	4.920479549515828e-4	IGHD/IGHM/IGLC3/IGLC2/TRBC2	5
GO:0006911	phagocytosis, engulfment	6/90	36/6656	7.263930356462447e-6	5.340441598071192e-4	4.948648133371048e-4	IGHD/IGHM/IGLC3/IGLC2/RHOH/TRBC2	6
GO:0099024	plasma membrane invagination	6/90	40/6656	1.3706588481120817e-5	9.689503703192332e-4	8.978647839049994e-4	IGHD/IGHM/IGLC3/IGLC2/RHOH/TRBC2	6
GO:0016064	immunoglobulin mediated immune response	8/90	85/6656	1.6783775148982662e-5	0.0011425399527344494	0.0010587192277214015	IGHD/CD19/FCER2/IGHM/IGLC3/IGLC2/IL4R/TRBC2	8
GO:0019724	B cell mediated immunity	8/90	86/6656	1.8302546595109552e-5	0.0012014314514932627	0.0011132902402589194	IGHD/CD19/FCER2/IGHM/IGLC3/IGLC2/IL4R/TRBC2	8
GO:1903131	mononuclear cell differentiation	14/90	284/6656	2.3352774844964974e-5	0.0014788129431036734	0.001370322055977174	CD19/POU2AF1/PAX5/MS4A1/CD79A/CD79B/IL4R/LY9/RHOH/CD83/TPD52/BLK/GPR18/BCL2	14
GO:0010324	membrane invagination	6/90	44/6656	2.4137316808003374e-5	0.0014788129431036734	0.001370322055977174	IGHD/IGHM/IGLC3/IGLC2/RHOH/TRBC2	6
GO:0030183	B cell differentiation	8/90	91/6656	2.7745056379538705e-5	0.0016450133427610369	0.0015243294133138751	CD19/POU2AF1/PAX5/MS4A1/CD79A/CD79B/TPD52/BCL2	8
GO:0030098	lymphocyte differentiation	13/90	257/6656	3.602696172143406e-5	0.0020692986138748687	0.0019174876337263258	CD19/POU2AF1/PAX5/MS4A1/CD79A/CD79B/IL4R/LY9/RHOH/CD83/TPD52/GPR18/BCL2	13
GO:0002696	positive regulation of leukocyte activation	12/90	237/6656	7.324545307973293e-5	0.004079549780622701	0.0037802597474643667	IGHD/TNFRSF13C/IGHM/IGLC3/IGLC2/IL4R/RHOH/TRBC2/CD83/MEF2C/JUND/BCL2	12
GO:0050867	positive regulation of cell activation	12/90	241/6656	8.607775670054041e-5	0.004653262259282156	0.004311882673110662	IGHD/TNFRSF13C/IGHM/IGLC3/IGLC2/IL4R/RHOH/TRBC2/CD83/MEF2C/JUND/BCL2	12
GO:0002252	immune effector process	14/90	322/6656	9.276759351774235e-5	0.004871623911017441	0.004514224550728034	IGHD/CD19/POU2AF1/FCER2/IGHM/IGLC3/CD22/IGLC2/IL4R/LY9/LAPTM5/TRBC2/BLK/LAT2	14
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	10/90	177/6656	1.2450281151280386e-4	0.00635656021001482	0.00589022073180458	IGHD/CD19/FCER2/IGHM/IGLC3/IGLC2/IL4R/LY9/TRBC2/MEF2C	10
GO:0051251	positive regulation of lymphocyte activation	11/90	219/6656	1.6080235021459326e-4	0.007987965397146551	0.00740194033135738	IGHD/TNFRSF13C/IGHM/IGLC3/IGLC2/IL4R/RHOH/TRBC2/CD83/MEF2C/BCL2	11
GO:0002521	leukocyte differentiation	14/90	342/6656	1.7599845185174883e-4	0.008512767223776694	0.007888240861388632	CD19/POU2AF1/PAX5/MS4A1/CD79A/CD79B/IL4R/LY9/RHOH/CD83/TPD52/BLK/GPR18/BCL2	14
GO:0030097	hemopoiesis	17/90	495/6656	2.823626206635067e-4	0.013307243507167315	0.012330977604144502	CD19/POU2AF1/PAX5/MS4A1/CD79A/CD79B/IL4R/LY9/RHOH/KLF2/STK4/CD83/MEF2C/TPD52/BLK/GPR18/BCL2	17
GO:0030888	regulation of B cell proliferation	5/90	46/6656	3.5789439232718743e-4	0.016445247327434263	0.01523876649435235	TNFRSF13C/CD22/MEF2C/BLK/BCL2	5
GO:0006909	phagocytosis	8/90	134/6656	4.238760106982194e-4	0.019002051406422617	0.017607994488054404	IGHD/IGHM/IGLC3/IGLC2/PIKFYVE/RHOH/TRBC2/RACK1	8
GO:0003254	regulation of membrane depolarization	3/90	12/6656	4.8156434329691956e-4	0.02061400501306496	0.019101689543061167	RACK1/BCL2/CAMK2D	3
GO:0008037	cell recognition	5/90	49/6656	4.822645351261117e-4	0.02061400501306496	0.019101689543061167	IGHD/IGHM/IGLC3/IGLC2/TRBC2	5
GO:0050854	regulation of antigen receptor-mediated signaling pathway	5/90	50/6656	5.301922769544681e-4	0.02214757738732528	0.02052275368689783	CD19/CD22/LAPTM5/ELF1/BLK	5
GO:0032943	mononuclear cell proliferation	9/90	178/6656	6.263370450575607e-4	0.025582388640351034	0.023705575179020662	CD19/TNFRSF13C/MS4A1/CD79A/CD22/ST6GAL1/MEF2C/BLK/BCL2	9
GO:0071277	cellular response to calcium ion	4/90	30/6656	6.547569939136191e-4	0.026161812061157218	0.024242490072133544	RASGRP2/MEF2C/JUND/CAMK2D	4
GO:0002443	leukocyte mediated immunity	10/90	220/6656	7.169438807303358e-4	0.028037081974092708	0.025980183628705113	IGHD/CD19/FCER2/IGHM/IGLC3/IGLC2/IL4R/TRBC2/BLK/LAT2	10
GO:0070588	calcium ion transmembrane transport	7/90	115/6656	8.765734600477415e-4	0.033565458740994765	0.031102979349939597	CD19/MS4A1/ATP2B1/ORAI2/P2RX5/BCL2/CAMK2D	7
GO:2000106	regulation of leukocyte apoptotic process	5/90	58/6656	0.0010533661641550954	0.03951197979014419	0.03661324282713092	ST6GAL1/MEF2C/TSC22D3/BLK/BCL2	5
GO:0001817	regulation of cytokine production	13/90	364/6656	0.0011179452749261148	0.04109566830628398	0.038080746417483234	BANK1/IGHD/POU2AF1/IL4R/LY9/LAPTM5/ATP2B1/EIF2AK3/KLF2/ELF1/POU2F2/CD83/GPR18	13
GO:0070661	leukocyte proliferation	9/90	194/6656	0.0011589875948692038	0.04120516252851796	0.03818220776080527	CD19/TNFRSF13C/MS4A1/CD79A/CD22/ST6GAL1/MEF2C/BLK/BCL2	9
GO:0050855	regulation of B cell receptor signaling pathway	3/90	16/6656	0.0011786835775412538	0.04120516252851796	0.03818220776080527	CD19/CD22/BLK	3
GO:0045576	mast cell activation	4/90	35/6656	0.001188179332976851	0.04120516252851796	0.03818220776080527	IL4R/RHOH/BLK/LAT2	4
GO:0097553	calcium ion transmembrane import into cytosol	5/90	60/6656	0.0012292126744665756	0.041838757327214184	0.03876931983015437	CD19/MS4A1/P2RX5/BCL2/CAMK2D	5
GO:0001816	cytokine production	13/90	369/6656	0.0012667540909762538	0.04233261853117008	0.0392269496497527	BANK1/IGHD/POU2AF1/IL4R/LY9/LAPTM5/ATP2B1/EIF2AK3/KLF2/ELF1/POU2F2/CD83/GPR18	13
GO:0051899	membrane depolarization	3/90	18/6656	0.0016842347638076622	0.055278990997830055	0.051223530974451086	RACK1/BCL2/CAMK2D	3
GO:0042742	defense response to bacterium	6/90	96/6656	0.001807346951995915	0.05827901224155249	0.05400346017228791	IGHD/IGHM/IGLC3/IGLC2/TRBC2/JCHAIN	6
GO:0002449	lymphocyte mediated immunity	8/90	169/6656	0.0019322171046685704	0.060818799262279594	0.05635691953861084	IGHD/CD19/FCER2/IGHM/IGLC3/IGLC2/IL4R/TRBC2	8
GO:0033032	regulation of myeloid cell apoptotic process	3/90	19/6656	0.0019805760581362284	0.060818799262279594	0.05635691953861084	ST6GAL1/MEF2C/BCL2	3
GO:0051241	negative regulation of multicellular organismal process	13/90	388/6656	0.001992298007964605	0.060818799262279594	0.05635691953861084	BANK1/IL4R/LAPTM5/ATP2B1/EIF2AK3/KLF2/EAF2/STK4/CD83/MEF2C/RAB11FIP1/GPR18/BCL2	13
GO:1903169	regulation of calcium ion transmembrane transport	5/90	67/6656	0.002018469398802533	0.060818799262279594	0.05635691953861084	CD19/MS4A1/P2RX5/BCL2/CAMK2D	5
GO:0051924	regulation of calcium ion transport	6/90	99/6656	0.002115152168902607	0.06270402720069342	0.05810384056510048	CD19/MS4A1/ATP2B1/P2RX5/BCL2/CAMK2D	6
GO:0046651	lymphocyte proliferation	8/90	173/6656	0.002238696718857722	0.06531308840096021	0.06052149191498404	CD19/TNFRSF13C/MS4A1/CD79A/CD22/MEF2C/BLK/BCL2	8
GO:0051928	positive regulation of calcium ion transport	4/90	42/6656	0.0023636339541825606	0.06788061262168041	0.06290065358334511	CD19/MS4A1/ATP2B1/P2RX5	4
GO:0002683	negative regulation of immune system process	9/90	219/6656	0.0026770321433865303	0.07569823199299142	0.0701447450688163	BANK1/CD22/IL4R/LAPTM5/ELF1/PARP14/TSC22D3/BLK/GPR18	9
GO:0007265	Ras protein signal transduction	8/90	180/6656	0.0028661267489763654	0.07981728734270545	0.07396161211872024	RALGPS2/RAB30/RHOH/RASGRP2/RRAS2/RASGRP3/USP8/GPR18	8
GO:0071887	leukocyte apoptotic process	5/90	74/6656	0.003126822511835713	0.08577760860826927	0.07948466338020714	ST6GAL1/MEF2C/TSC22D3/BLK/BCL2	5
GO:0046632	alpha-beta T cell differentiation	5/90	75/6656	0.003315002064956944	0.08855835468230978	0.08206140420135001	IL4R/LY9/CD83/GPR18/BCL2	5
GO:0009617	response to bacterium	10/90	270/6656	0.003324551944004013	0.08855835468230978	0.08206140420135001	BANK1/IGHD/MS4A1/IGHM/IGLC3/IGLC2/TRBC2/JCHAIN/MEF2C/JUND	10
GO:0050858	negative regulation of antigen receptor-mediated signaling pathway	3/90	23/6656	0.003481223682035573	0.09089598164674478	0.08422753467981962	CD22/LAPTM5/ELF1	3
GO:0071248	cellular response to metal ion	5/90	76/6656	0.0035112158307502063	0.09089598164674478	0.08422753467981962	EIF2AK3/RASGRP2/MEF2C/JUND/CAMK2D	5
GO:0046631	alpha-beta T cell activation	6/90	111/6656	0.0037568760213424444	0.09590469621149185	0.08886879243467945	IL4R/LY9/TRBC2/CD83/GPR18/BCL2	6
GO:0043473	pigmentation	4/90	48/6656	0.0038637634818980793	0.09728215451683109	0.0901451955834332	PIKFYVE/MEF2C/RACK1/BCL2	4
GO:0033028	myeloid cell apoptotic process	3/90	24/6656	0.003939956678799147	0.09786000507611935	0.09068065300564751	ST6GAL1/MEF2C/BCL2	3
GO:0019722	calcium-mediated signaling	5/90	79/6656	0.004149971625202579	0.09953941028626864	0.09223685117873127	CD22/EIF2AK3/P2RX5/LAT2/CAMK2D	5
GO:0007204	positive regulation of cytosolic calcium ion concentration	4/90	49/6656	0.004164341166055586	0.09953941028626864	0.09223685117873127	CD52/P2RX5/GPR18/BCL2	4
GO:0006816	calcium ion transport	7/90	151/6656	0.004170040583265879	0.09953941028626864	0.09223685117873127	CD19/MS4A1/ATP2B1/ORAI2/P2RX5/BCL2/CAMK2D	7
GO:0050869	negative regulation of B cell activation	3/90	25/6656	0.004433827848414925	0.10447917417162349	0.09681421671707621	BANK1/LAPTM5/BLK	3
GO:0051592	response to calcium ion	4/90	54/6656	0.005905851575423902	0.1360188647609367	0.1260400453486029	RASGRP2/MEF2C/JUND/CAMK2D	4
GO:0007264	small GTPase mediated signal transduction	9/90	247/6656	0.005920298792641422	0.1360188647609367	0.1260400453486029	RALGPS2/RAB30/RHOH/RASGRP2/RRAS2/RASGRP3/USP8/GPR18/TAGAP	9
GO:0043303	mast cell degranulation	3/90	29/6656	0.00677524058406889	0.15186453894534901	0.14072322548168759	IL4R/BLK/LAT2	3
GO:1904427	positive regulation of calcium ion transmembrane transport	3/90	29/6656	0.00677524058406889	0.15186453894534901	0.14072322548168759	CD19/MS4A1/P2RX5	3
GO:1904062	regulation of cation transmembrane transport	6/90	126/6656	0.006957716604918549	0.15407570023903966	0.1427721682531162	CD19/MS4A1/MEF2C/P2RX5/BCL2/CAMK2D	6
GO:0002279	mast cell activation involved in immune response	3/90	30/6656	0.007455294316308375	0.16019546403518664	0.14844296478376492	IL4R/BLK/LAT2	3
GO:0030890	positive regulation of B cell proliferation	3/90	30/6656	0.007455294316308375	0.16019546403518664	0.14844296478376492	TNFRSF13C/MEF2C/BCL2	3
GO:0043032	positive regulation of macrophage activation	2/90	10/6656	0.0075827015076502914	0.16019546403518664	0.14844296478376492	IL4R/JUND	2
GO:0043374	CD8-positive, alpha-beta T cell differentiation	2/90	10/6656	0.0075827015076502914	0.16019546403518664	0.14844296478376492	GPR18/BCL2	2
GO:0071241	cellular response to inorganic substance	5/90	92/6656	0.007897561444091868	0.1649513401618279	0.15284993321220866	EIF2AK3/RASGRP2/MEF2C/JUND/CAMK2D	5
GO:0002448	mast cell mediated immunity	3/90	32/6656	0.00893291486219385	0.18242997240791436	0.16904627189508362	IL4R/BLK/LAT2	3
GO:2000107	negative regulation of leukocyte apoptotic process	3/90	32/6656	0.00893291486219385	0.18242997240791436	0.16904627189508362	ST6GAL1/TSC22D3/BCL2	3
GO:0051155	positive regulation of striated muscle cell differentiation	2/90	11/6656	0.00918669411288604	0.18353417151613632	0.17006946309667748	MEF2C/BCL2	2
GO:0071888	macrophage apoptotic process	2/90	11/6656	0.00918669411288604	0.18353417151613632	0.17006946309667748	ST6GAL1/MEF2C	2
GO:0001818	negative regulation of cytokine production	6/90	136/6656	0.009975214801521807	0.19714456779781805	0.1826813531280394	BANK1/LAPTM5/ATP2B1/KLF2/CD83/GPR18	6
GO:0042391	regulation of membrane potential	5/90	98/6656	0.010240418692674294	0.20023286762909948	0.18554308448764847	MEF2C/P2RX5/RACK1/BCL2/CAMK2D	5
GO:0006897	endocytosis	9/90	272/6656	0.010858463958381522	0.20495050492638267	0.18991461942093077	IGHD/IGHM/IGLC3/CD22/IGLC2/PIKFYVE/RHOH/ANKRD13A/TRBC2	9
GO:0002115	store-operated calcium entry	2/90	12/6656	0.010927720066803865	0.20495050492638267	0.18991461942093077	MS4A1/ORAI2	2
GO:0030501	positive regulation of bone mineralization	2/90	12/6656	0.010927720066803865	0.20495050492638267	0.18991461942093077	ATP2B1/MEF2C	2
GO:0050931	pigment cell differentiation	2/90	12/6656	0.010927720066803865	0.20495050492638267	0.18991461942093077	MEF2C/BCL2	2
GO:0034765	regulation of ion transmembrane transport	6/90	140/6656	0.011410407270473275	0.2104480596645928	0.19500885432524548	CD19/MS4A1/MEF2C/P2RX5/BCL2/CAMK2D	6
GO:0030282	bone mineralization	3/90	35/6656	0.011449840025277084	0.2104480596645928	0.19500885432524548	ATP2B1/EIF2AK3/MEF2C	3
GO:0019932	second-messenger-mediated signaling	5/90	103/6656	0.012526574508952993	0.22197950477893988	0.20569431231448645	CD22/EIF2AK3/P2RX5/LAT2/CAMK2D	5
GO:0010038	response to metal ion	6/90	143/6656	0.012578805127544753	0.22197950477893988	0.20569431231448645	EIF2AK3/RASGRP2/MEF2C/JUND/BCL2/CAMK2D	6
GO:0010959	regulation of metal ion transport	6/90	143/6656	0.012578805127544753	0.22197950477893988	0.20569431231448645	CD19/MS4A1/ATP2B1/P2RX5/BCL2/CAMK2D	6
GO:0019731	antibacterial humoral response	2/90	13/6656	0.012801864802267481	0.22197950477893988	0.20569431231448645	IGHM/JCHAIN	2
GO:0030279	negative regulation of ossification	2/90	13/6656	0.012801864802267481	0.22197950477893988	0.20569431231448645	MEF2C/BCL2	2
GO:1903358	regulation of Golgi organization	2/90	13/6656	0.012801864802267481	0.22197950477893988	0.20569431231448645	USP6NL/STX5	2
GO:0032944	regulation of mononuclear cell proliferation	6/90	144/6656	0.012986355223925966	0.22307402711753202	0.20670853666809852	TNFRSF13C/CD22/ST6GAL1/MEF2C/BLK/BCL2	6
GO:0001503	ossification	6/90	147/6656	0.0142646948385719	0.24173900068991774	0.2240041825303745	ATP2B1/EIF2AK3/RRAS2/MEF2C/JUND/BCL2	6
GO:0014902	myotube differentiation	3/90	38/6656	0.014335990791730705	0.24173900068991774	0.2240041825303745	IL4R/MEF2C/BCL2	3
GO:0045143	homologous chromosome segregation	2/90	14/6656	0.014805292516058078	0.24296542539745308	0.2251406324340411	CCNB1IP1/STAG3	2
GO:0070169	positive regulation of biomineral tissue development	2/90	14/6656	0.014805292516058078	0.24296542539745308	0.2251406324340411	ATP2B1/MEF2C	2
GO:0070233	negative regulation of T cell apoptotic process	2/90	14/6656	0.014805292516058078	0.24296542539745308	0.2251406324340411	TSC22D3/BCL2	2
GO:0070228	regulation of lymphocyte apoptotic process	3/90	39/6656	0.015381385389327512	0.2501857198724245	0.23183122086569088	TSC22D3/BLK/BCL2	3
GO:0010035	response to inorganic substance	8/90	241/6656	0.015818894149393102	0.2550449776016186	0.2363339864609237	EIF2AK3/RASGRP2/KLF2/MEF2C/JUND/RACK1/BCL2/CAMK2D	8
GO:0043269	regulation of ion transport	7/90	196/6656	0.016430394956117346	0.25512411417681263	0.23640731730031667	CD19/MS4A1/ATP2B1/MEF2C/P2RX5/BCL2/CAMK2D	7
GO:0040008	regulation of growth	8/90	243/6656	0.016551863216618706	0.25512411417681263	0.23640731730031667	CHPT1/RASGRP2/EAF2/STK4/MEF2C/RACK1/BCL2/CAMK2D	8
GO:0002363	alpha-beta T cell lineage commitment	2/90	15/6656	0.01693424479302021	0.25512411417681263	0.23640731730031667	LY9/BCL2	2
GO:0034405	response to fluid shear stress	2/90	15/6656	0.01693424479302021	0.25512411417681263	0.23640731730031667	KLF2/MEF2C	2
GO:0043369	CD4-positive or CD8-positive, alpha-beta T cell lineage commitment	2/90	15/6656	0.01693424479302021	0.25512411417681263	0.23640731730031667	LY9/BCL2	2
GO:0061333	renal tubule morphogenesis	2/90	15/6656	0.01693424479302021	0.25512411417681263	0.23640731730031667	MEF2C/BCL2	2
GO:0110151	positive regulation of biomineralization	2/90	15/6656	0.01693424479302021	0.25512411417681263	0.23640731730031667	ATP2B1/MEF2C	2
GO:1901861	regulation of muscle tissue development	2/90	15/6656	0.01693424479302021	0.25512411417681263	0.23640731730031667	MEF2C/BCL2	2
GO:0030278	regulation of ossification	3/90	41/6656	0.01759839500735346	0.2629743904350867	0.24368166984936154	ATP2B1/MEF2C/BCL2	3
GO:0001819	positive regulation of cytokine production	8/90	247/6656	0.018091367267658143	0.26713713746866735	0.24753902320846674	IGHD/POU2AF1/IL4R/LY9/LAPTM5/EIF2AK3/POU2F2/CD83	8
GO:0032635	interleukin-6 production	4/90	75/6656	0.018329918258973715	0.26713713746866735	0.24753902320846674	BANK1/POU2AF1/KLF2/POU2F2	4
GO:0032675	regulation of interleukin-6 production	4/90	75/6656	0.018329918258973715	0.26713713746866735	0.24753902320846674	BANK1/POU2AF1/KLF2/POU2F2	4
GO:0070663	regulation of leukocyte proliferation	6/90	156/6656	0.018624036811361447	0.26713713746866735	0.24753902320846674	TNFRSF13C/CD22/ST6GAL1/MEF2C/BLK/BCL2	6
GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	3/90	42/6656	0.01877029970375121	0.26713713746866735	0.24753902320846674	LAPTM5/EIF2AK3/RACK1	3
GO:0051262	protein tetramerization	3/90	42/6656	0.01877029970375121	0.26713713746866735	0.24753902320846674	MS4A1/STK4/VASP	3
GO:0006925	inflammatory cell apoptotic process	2/90	16/6656	0.01918503925237437	0.26713713746866735	0.24753902320846674	ST6GAL1/MEF2C	2
GO:0045778	positive regulation of ossification	2/90	16/6656	0.01918503925237437	0.26713713746866735	0.24753902320846674	ATP2B1/MEF2C	2
GO:0045947	negative regulation of translational initiation	2/90	16/6656	0.01918503925237437	0.26713713746866735	0.24753902320846674	BANK1/EIF2AK3	2
GO:0002274	myeloid leukocyte activation	5/90	117/6656	0.020711342891881996	0.28622141530285045	0.26522321170609475	IL4R/RHOH/JUND/BLK/LAT2	5
GO:0002902	regulation of B cell apoptotic process	2/90	17/6656	0.02155406821585841	0.28707519841121565	0.2660143583009833	BLK/BCL2	2
GO:0048066	developmental pigmentation	2/90	17/6656	0.02155406821585841	0.28707519841121565	0.2660143583009833	MEF2C/BCL2	2
GO:0060078	regulation of postsynaptic membrane potential	2/90	17/6656	0.02155406821585841	0.28707519841121565	0.2660143583009833	MEF2C/P2RX5	2
GO:0060079	excitatory postsynaptic potential	2/90	17/6656	0.02155406821585841	0.28707519841121565	0.2660143583009833	MEF2C/P2RX5	2
GO:0099565	chemical synaptic transmission, postsynaptic	2/90	17/6656	0.02155406821585841	0.28707519841121565	0.2660143583009833	MEF2C/P2RX5	2
GO:0018105	peptidyl-serine phosphorylation	6/90	162/6656	0.021992488195674398	0.29027729619375386	0.26898153899633115	EIF2AK3/PIKFYVE/STK4/RACK1/BCL2/CAMK2D	6
GO:0043547	positive regulation of GTPase activity	5/90	119/6656	0.022110349002788653	0.29027729619375386	0.26898153899633115	RALGPS2/RASGRP2/RASGRP3/USP6NL/RACK1	5
GO:0031214	biomineral tissue development	3/90	46/6656	0.02388258171047246	0.2985234568672729	0.2766227324959897	ATP2B1/EIF2AK3/MEF2C	3
GO:0043299	leukocyte degranulation	3/90	46/6656	0.02388258171047246	0.2985234568672729	0.2766227324959897	IL4R/BLK/LAT2	3
GO:0051384	response to glucocorticoid	3/90	46/6656	0.02388258171047246	0.2985234568672729	0.2766227324959897	ATP2B1/USP8/BCL2	3
